ID,A1,A2,A3,A4,A5,A6,A7,A8,G1,G2,G3,G4,G5,G6,G7,G8,G9,C1,C2,RV,Anneal_Temp,Anneal_Time,Tg,Tm,Jg
S1,60,5,0,0,0,35,0,0,22,0,0,0,0,34,0,44,0,0,0,0.8,20,365,3,92,
S2,65,0,0,0,0,35,0,0,22,0,0,0,0,24,0,54,0,0,0,0.8,20,365,10,140,
S3,70,10,0,0,0,20,0,0,35,0,0,0,0,65,0,0,0,0,0,1,20,365,19,137,18.1
S4,44,32,0,0,0,24,0,0,0,0,0,0,0,100,0,0,0,0,0,0.5,20,365,-8,113,16
S5,63,0,0,20,0,17,0,0,58,0,0,0,0,42,0,0,0,0,0,0.83,20,365,-8,105,
S6,57,43,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,0.65,20,365,26,145,
S7,53,37,0,0,0,10,0,0,0,0,0,0,0,100,0,0,0,1.5,0,0.72,20,365,14,138,17.4
S8,53,42,0,0,3,2,0,0,0,0,0,0,0,100,0,0,0,1.4,0,0.46,20,365,21,136,1.49
S9,65,10,0,0,0,25,0,0,0,0,0,0,0,100,0,0,0,0,0,0.77,20,365,-5,166,
S10,42,0,0,0,0,58,0,0,0,0,0,0,0,100,0,0,0,0,0,0.94,20,365,-37,110,
S11,58,0,0,0,0,42,0,0,41,0,0,0,0,58,0,0,1,0,0,1,20,365,-15,108,12.4
S12,65,35,0,0,0,0,0,0,0,0,0,0,0,83.4,0,0,16.6,0,0,1.82,20,365,-70,126,12.8
S13,65,35,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0,1.5,20,365,-70,139,17
S14,50,0,0,0,0,0,50,0,0,0,0,0,0,90,0,0,10,0,0,1.2,20,365,-60,107,6.31
S15,90,0,0,0,0,10,0,0,74,0,0,0,0,0,0,23,3,0,0,0.75,20,365,15,163,3.66
S16,56.75,0,0,0,2.5,40.75,0,0,41,0,0,0,0,58,0,0,1,0,0,0.76,20,365,-10,110,4.4
S17,0,0,100,0,0,0,0,0,0,0,0,0,0,73,0,0,27,0,0,1.05,20,365,-65,190,19.3
S18,100,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0,1.15,20,365,-70,163,18.8
S19,100,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,30,0,0,1.05,20,365,-70,163,17.3
S20,56.7,0,0,0,3.5,39.8,0,0,23,0,0,0,0,74,0,0,3,0,0,0.955,20,365,-20,111.5,10.4
S21,56.7,0,0,0,3.5,39.8,0,0,23,0,0,0,0,74,0,0,3,0,0,0.955,20,365,-20,111.5,
S22,77,23,0,0,0,0,0,0,0,0,0,39,0,58,0,0,3,0,0,1.226,20,365,4,118,1.51
S23,77,23,0,0,0,0,0,0,0,0,0,42,0,54,0,0,4,0,0,1.25,20,365,0,111,8.5
S25,53,25,0,0,0,22,0,0,0,0,0,0,0,100,0,0,0,0,0,0.54,20,365,0,141,23.4
S26,65,10,0,0,0,25,0,0,0,0,0,0,0,100,0,0,0,0,0,0.73,20,365,-6,167,26.7
S27,71,29,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.725,20,365,27,178,32.7
S28,53,47,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.73,20,365,26,136,1.56
S29,47,28,0,0,0,25,0,0,0,0,0,0,0,100,0,0,0,0,0,0.54,20,365,-3,123,
S30,47,28,0,0,0,25,0,0,0,0,0,0,0,100,0,0,0,0,0,0.94,20,365,0,123,17.7
S31,44,31,0,0,0,25,0,0,0,0,0,0,0,100,0,0,0,0,0,0.54,20,365,-4,113,
S32,44,31,0,0,0,25,0,0,0,0,0,0,0,100,0,0,0,0,0,0.74,20,365,-2,114,15.3
S33,44,56,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.76,20,365,26,110,
S34,43,31,0,0,0,27,0,0,0,0,0,0,0,100,0,0,0,0,0,0.94,20,365,-3,117,2.92
S35,40,20,0,0,0,40,0,0,0,0,0,0,0,100,0,0,0,0,0,0.81,20,365,-14,102,16
S36,34,20,0,0,0,46,0,0,0,0,0,0,0,100,0,0,0,0,0,0.89,20,365,-20,96,2.93
S37,66,34,0,0,0,0,0,0,14,0,0,0,0,55,0,31,0,0,0,0.55,50,7,45.2,109.4,
S38,83,17,0,0,0,0,0,0,7,0,0,0,0,64,0,29,0,0,0,0.53,50,7,42.4,148.7,21
S39,86,14,0,0,0,0,0,0,0,0,0,0,0,64,0,36,0,0,0,0.55,50,7,41.9,162.1,18.4
S40,86,14,0,0,0,0,0,0,10,0,0,0,0,59,0,32,0,0,0,0.51,50,7,41.3,148.7,
S41,81,19,0,0,0,0,0,0,5,0,0,0,0,65,0,30,0,0,0,0.51,50,7,40.6,143.7,21.4
S42,65,0,0,0,0,35,0,0,33,0,0,0,0,33,0,34,0,0,0,0.77,50,7,-9.5,85.9,
S43,76,24,0,0,0,0,0,0,5,0,0,0,0,65,0,30,0,0,0,0.51,80,7,37.6,136.2,15
S44,76,24,0,0,0,0,0,0,0,0,0,0,0,67,0,33,0,0,0,0.53,50,7,38.3,142.4,
S45,81,19,0,0,0,0,0,0,0,0,0,0,0,67,7,26,0,0,0,0.54,50,7,46.2,141.6,13.7
S46,81,14,5,0,0,0,0,0,12,0,0,0,0,59,0,29,0,0,0,0.54,50,7,46.9,138.2,
S47,80,19,0,0,0,0,0,1,7,0,0,0,0,62,0,31,0,0,0,0.6,50,7,41.9,138.7,
S48,81,19,0,0,0,0,0,0,15,0,0,0,0,54,0,31,0,0,0,0.55,50,7,45.3,124,
S49,82,18,0,0,0,0,0,0,0,0,0,0,73,27,0,0,0,0,0,0.24,50,7,34.7,105.6,
S50,71,19,10,0,0,0,0,0,4,0,0,0,0,67,0,29,0,0,0,0.58,50,7,45.4,140.4,
S51,81,18,1,0,0,0,0,0,9,0,0,0,0,61,0,30,0,0,0,0.51,50,7,45,137.7,
