J107G,PN20300,062H,102T,H1100‚o,T160,WVTR,Ad_HS,MV
32.5,32.5,0,0,5,30,0.29,39,1059
22.5,22.5,0,20,5,30,1.14,54,1577
15,15,20,0,20,30,1.03,14,447
20,20,20,0,20,20,0.93,54,816
25,25,20,0,20,10,1.46,129,1319
20,20,20,0,10,30,0.93,24,569
20,20,0,20,20,20,0.88,68,1610
25,25,0,20,20,10,1.7,155,2293
20,20,0,20,10,30,0.54,33,1341
25,25,20,0,10,20,0.59,70,1032
27.5,27.5,20,0,5,20,0.59,84,1112
30,30,20,0,10,10,0.74,133,1598
32.5,32.5,10,0,5,20,0.71,77,1281
22.5,22.5,30,0,5,20,0.66,54,933
25,25,0,20,5,25,0.7,88,1852
27.5,27.5,0,20,5,20,0.73,155,2263
32.5,32.5,0,10,5,20,0.72,106,1740
30,30,0,10,10,20,0.72,96,1629
30,30,0,10,5,25,0.66,68,1470
30,30,10,0,5,25,0.73,51,1019
32.5,32.5,0,0,5,30,0.29,39,1059
32.5,32.5,0,0,5,30,0.29,39,1059
32.5,32.5,0,0,5,30,0.29,39,1059
32.5,32.5,0,0,5,30,0.29,39,1059
32.5,32.5,0,0,5,30,0.29,39,1059
27.5,27.5,20,0,5,20,0.59,84,1112
27.5,27.5,20,0,5,20,0.59,84,1112
27.5,27.5,20,0,5,20,0.59,84,1112
27.5,27.5,20,0,5,20,0.59,84,1112
27.5,27.5,20,0,5,20,0.59,84,1112
25,25,0,20,5,25,0.7,88,1852
25,25,0,20,5,25,0.7,88,1852
25,25,0,20,5,25,0.7,88,1852
25,25,0,20,5,25,0.7,88,1852
25,25,0,20,5,25,0.7,88,1852
25,25,0,20,5,25,0.7,88,1852
