Cylinder,Disk
96,94.5
97.5,95.2
95,90.2
97.5,95.2
98.5,94
98,97.7
92.5,96.7
93.5,96
98,96
99,96.2
94.5,93.1
99.2,94.8
90,95.9
97,94.8
98.8,95.4
97.5,96.2
98.3,98
98.5,96.2
98.8,97.6
99.2,94.6
97,97
98,99.8
95,92.8
89.5,97.9
84,93.6
92,96.1
90,97.6
94,98.8
93.3,97.2
93,96.9
93,99.8
92.5,97.9
92,91.3
94.5,99.5
95.5,99.8
96.3,96.6
97.5,95.8
98.7,98.5
98.4,97.8
96,98.8
97.1,96.6
91.2,98.2
89.6,99.1
88.4,95.2
85,96.7
91.4,96.9
98,98.9
95.7,98.7
92.7,95
97.6,97.9
97.2,88.9
90.9,96.9
89.8,95.5
94.2,97.6
95.3,98.4
95,98.5
96.2,96.9
99.3,98.4
98,97.4
54,98.3
32,97.2
50,98.4
94,97
70,97.8
97,98.2
93,93.9
88,99.7
94,99.7
96.7,99.5
94.8,98.2
73,95.3
81,96.4
86,89.7
92.5,9.3
91,7.9
94.5,97.4
87.8,94.5
95.1,99
94.7,95.6
94.7,89
90,91.9
93,99
95,98.2
94.5,88.7
83.3,85.9
87,77.5
89,99
89,
91,
69,
91,
96.6,
80,
96.9,
91.7,
97.5,
81,
89.7,
96,
97,
97.5,
99.2,
96.5,
91.9,
90.8,
84.8,
79.1,
68.3,
71.7,
76.9,
93.3,
91.8,
88.4,
82.4,
89.9,
72.6,
97.5,
92,
99.3,
97.1,
94.9,
95.9,
99.3,
99.4,
99.5,
90.7,
94.7,
95,
97.4,
97.4,
95.8,
98,
87,
90.7,
95,
96,
99,
96,
92.5,
93.5,
98.8,
97.9,
98.5,
93.5,
97,
96,
98,
93,
95,
93,
95.8,
97.7,
96,
98,
94.2,
82.7,
91.7,
80.8,
91.5,
98.4,
97.3,
98.4,
97,
98.6,
97.3,
97.8,
95.2,
97.7,
97.6,
97.5,
94.5,
99,
98.1,
94.9,
97.1,
97,
96.5,
92.5,
91.3,
97.8,
98,
98.6,
98.3,
98.2,
95.9,
97.2,
97.9,
99.1,
97.9,
97.5,
97.8,
98.3,
97,
96.4,
97.3,
96.9,
75,
97.9,
98.6,
97,
93.8,
95,
97.7,
91.6,
91.8,
95.5,
95.2,
94.5,
92.2,
94.4,
93.8,
96.1,
94.8,
90,
95.6,
91.1,
96.5,
96.7,
97.5,
94.5,
91.5,
95,
96.6,
97.1,
97,
94,
95.2,
97.8,
98,
92.2,
97.3,
93.9,
97,
97.1,
95.2,
93.8,
96.2,
93.8,
97,
96.9,
97.9,
86.7,
93,
97,
98,
94,
94.4,
97.2,
96.5,
96.3,
96.9,
93.2,
86.2,
93.3,
97.3,
94.3,
93.5,
91.8,
90.3,
96.6,
93.5,
94.5,
94.3,
97.5,
85.7,
76.8,
92.4,
96.6,
81.9,
99.1,
94.3,
99.4,
96.5,
97.5,
98.1,
93.8,
96.3,
97.3,
97.8,
94.5,
96.4,
96.7,
98,
93.1,
97.5,
98.7,
99.1,
50,
92,
80,
90.9,
94.1,
94,
93,
99.4,
99.5,
97,
98,
92.5,
96.3,
94.3,
97,
96.8,
96.5,
82,
83,
96.9,
96.3,
97,
96.4,
98.5,
97.8,
97,
97.2,
97.3,
98,
96.5,
96.5,
96.9,
97.6,
90,
98.4,
98.5,
96,
96.7,
97.4,
93.9,
91.6,
96.4,
97.8,
97.3,
90,
94.3,
99.1,
96.5,
85,
96.1,
92.6,
97.1,
94.5,
96.8,
92.6,
94.2,
90.4,
96.9,
81.3,
96,
89.3,
97,
95.1,
94.8,
96,
98.1,
98.5,
90.9,
95.3,
96.1,
95,
95.6,
40,
65,
96.4,
97.7,
95.3,
96.9,
94.9,
97.5,
95.3,
89.3,
93.8,
95.3,
50,
73,
91.4,
94.3,
94.9,
92.5,
94,
95.9,
94.8,
